quarter,department,category,budget_usd,actual_usd
Q1,Streaming Engineering,Software Infrastructure,4200000,3980000
Q1,Streaming Engineering,Cloud Compute,6100000,6250000
Q1,Streaming Engineering,Headcount,8900000,8720000
Q1,Streaming Engineering,Licenses & Subscriptions,1800000,1750000
Q1,Content Delivery,Software Infrastructure,2100000,2050000
Q1,Content Delivery,Cloud Compute,9800000,10100000
Q1,Content Delivery,Hardware,1400000,1380000
Q1,Studio Operations,Professional Services,3200000,3100000
Q1,Studio Operations,Headcount,12400000,12100000
Q1,Studio Operations,Travel,680000,720000
Q1,DTC Growth,Marketing,4500000,4680000
Q1,DTC Growth,Software Infrastructure,980000,950000
Q1,DTC Growth,Cloud Compute,1200000,1180000
Q1,Ad Sales Tech,Software Infrastructure,1500000,1420000
Q1,Ad Sales Tech,Headcount,3200000,3150000
Q1,Ad Sales Tech,Licenses & Subscriptions,890000,870000
Q1,Corporate Finance GCC,Software Infrastructure,760000,740000
Q1,Corporate Finance GCC,Training,420000,410000
Q1,Corporate Finance GCC,Facilities,1100000,1090000
Q1,Global Shared Services,Headcount,5600000,5520000
Q1,Global Shared Services,Professional Services,980000,960000
